J1,J2,J3,J4,J5,J6,J7,J8,J9,Resultado
1,1,-1,-1,1,1,1,-1,-1,2
1,1,-1,-1,-1,1,1,1,-1,2
1,1,-1,-1,-1,1,1,-1,1,2
1,1,-1,-1,-1,1,1,-1,-1,2
1,-1,1,1,1,-1,-1,1,-1,2
1,-1,1,1,-1,1,-1,1,-1,2
1,-1,1,1,-1,-1,-1,1,1,2
1,-1,1,1,-1,-1,-1,1,-1,2
1,-1,1,-1,1,1,-1,1,-1,2
1,-1,1,-1,1,-1,-1,1,-1,2
1,-1,1,-1,-1,1,1,1,-1,2
1,-1,1,-1,-1,1,-1,1,-1,2
1,-1,-1,-1,1,1,1,1,-1,2
1,-1,-1,-1,1,1,1,-1,-1,2
1,-1,-1,-1,1,1,-1,1,-1,2
1,-1,-1,-1,-1,1,1,1,-1,2
-1,1,1,1,1,-1,-1,-1,1,2
-1,1,1,1,-1,-1,1,-1,1,2
-1,1,1,1,-1,-1,-1,1,1,2
-1,1,1,1,-1,-1,-1,-1,1,2
-1,1,-1,1,1,-1,1,-1,1,2
-1,1,-1,1,1,-1,-1,-1,1,2
-1,1,-1,1,-1,1,1,-1,1,2
-1,1,-1,1,-1,-1,1,-1,1,2
-1,1,-1,-1,1,1,1,-1,1,2
-1,1,-1,-1,1,1,1,-1,-1,2
-1,1,-1,-1,1,-1,1,-1,1,2
-1,1,-1,-1,-1,1,1,-1,1,2
-1,-1,1,1,1,-1,-1,1,1,2
-1,-1,1,1,1,-1,-1,1,-1,2
-1,-1,1,1,1,-1,-1,-1,1,2
-1,-1,1,1,-1,-1,-1,1,1,2
1,1,-1,-1,1,1,1,-1,-1,2
1,1,-1,-1,-1,1,1,1,-1,2
1,1,-1,-1,-1,1,1,-1,1,2
1,1,-1,-1,-1,1,1,-1,-1,2
1,-1,1,1,1,-1,-1,1,-1,2
1,-1,1,1,-1,1,-1,1,-1,2
1,-1,1,1,-1,-1,-1,1,1,2
1,-1,1,1,-1,-1,-1,1,-1,2
1,-1,1,-1,1,1,-1,1,-1,2
1,-1,1,-1,1,-1,-1,1,-1,2
1,-1,1,-1,-1,1,1,1,-1,2
1,-1,1,-1,-1,1,-1,1,-1,2
1,-1,-1,-1,1,1,1,1,-1,2
1,-1,-1,-1,1,1,1,-1,-1,2
1,-1,-1,-1,1,1,-1,1,-1,2
1,-1,-1,-1,-1,1,1,1,-1,2
-1,1,1,1,1,-1,-1,-1,1,2
-1,1,1,1,-1,-1,1,-1,1,2
-1,1,1,1,-1,-1,-1,1,1,2
-1,1,1,1,-1,-1,-1,-1,1,2
-1,1,-1,1,1,-1,1,-1,1,2
-1,1,-1,1,1,-1,-1,-1,1,2
-1,1,-1,1,-1,1,1,-1,1,2
-1,1,-1,1,-1,-1,1,-1,1,2
-1,1,-1,-1,1,1,1,-1,1,2
-1,1,-1,-1,1,1,1,-1,-1,2
-1,1,-1,-1,1,-1,1,-1,1,2
-1,1,-1,-1,-1,1,1,-1,1,2
-1,-1,1,1,1,-1,-1,1,1,2
-1,-1,1,1,1,-1,-1,1,-1,2
-1,-1,1,1,1,-1,-1,-1,1,2
-1,-1,1,1,-1,-1,-1,1,1,2
